# milli_time node_id temp hum light
13001 40 2275 6172 17
13016 116 2061 6613 2
13039 122 1622 6832 20
13063 83 1927 6585 22
13069 123 2253 6566 28
13084 43 2406 6078 15
13089 72 2148 6455 57
13107 135 1943 6569 22
13112 131 1736 6888 35
13126 74 2324 6522 4
13148 129 2138 6604 23
13153 54 2009 6606 20
13160 71 2010 6484 27
13200 75 1927 6570 32
13208 81 2295 6473 1
13221 69 2381 6151 2
13230 76 1978 6514 2
13259 48 1683 6631 21
13270 138 1544 6939 28
13287 136 2162 6576 22
13288 133 1552 7029 27
13288 132 2254 6497 20
13297 137 2076 6614 3
13313 134 1752 6538 0
13356 46 1908 6756 19
13357 55 1889 6596 26
13366 65 1952 6532 37
13380 42 2509 6026 22
13384 73 1901 6609 45
13400 63 1813 6540 24
13410 66 1886 6570 22
13477 41 1816 6653 19
13479 82 2001 6525 21
13495 40 2276 6175 17
13511 116 2060 6610 1
13517 122 1621 6829 19
13556 83 1929 6587 21
13562 123 2252 6564 27
13577 43 2408 6081 14
13583 72 2150 6456 57
13600 135 1940 6569 23
13605 131 1735 6885 35
13620 74 2323 6522 1
13626 129 2137 6601 23
13638 71 2011 6486 26
13646 54 2012 6608 20
13694 75 1926 6567 32
13702 81 2295 6475 2
13707 76 1978 6513 2
13715 69 2381 6152 0
13737 48 1684 6633 22
13763 138 1543 6936 27
13764 136 2160 6574 20
13775 137 2075 6612 4
13781 133 1552 7026 26
13781 132 2253 6494 18
13791 134 1751 6537 2
13834 46 1906 6758 18
13851 55 1890 6598 26
13860 65 1951 6530 37
13873 42 2511 6028 24
13877 73 1899 6607 46
13894 63 1812 6538 26
13903 66 1885 6569 21
13955 41 1814 6652 17
13956 82 2001 6524 20
13989 40 2276 6174 17
14004 116 2061 6611 1
14010 122 1624 6831 19
14038 123 2255 6565 30
14050 83 1927 6584 22
14060 72 2148 6455 56
14071 43 2406 6080 17
14093 135 1940 6570 23
14098 131 1738 6888 37
14098 74 2323 6521 2
14119 129 2138 6604 19
14132 71 2010 6485 25
14140 54 2014 6608 20
14172 75 1927 6568 33
14195 81 2294 6474 0
14201 76 1978 6514 2
14209 69 2381 6150 2
14230 48 1683 6632 20
14255 138 1544 6939 26
14257 136 2163 6575 21
14259 133 1551 7029 26
14268 137 2077 6614 4
14275 132 2254 6496 21
14284 134 1752 6538 1
14328 46 1905 6756 18
14328 55 1889 6595 26
14338 65 1952 6532 36
14350 42 2509 6026 25
14370 73 1900 6610 46
14371 63 1813 6541 26
14397 66 1886 6571 21
14449 41 1815 6653 18
14450 82 2001 6525 20
14467 40 2279 6175 19
14482 116 2060 6611 1
14504 122 1624 6828 18
14528 83 1929 6587 21
14531 123 2254 6564 30
14547 43 2407 6081 17
14554 72 2149 6456 56
14585 135 1937 6568 20
14591 131 1736 6886 33
14592 74 2324 6522 2
14612 129 2136 6600 21
14618 54 2017 6611 20
14625 71 2011 6486 27
14667 75 1926 6567 32
14672 81 2293 6475 2
14688 69 2382 6152 2
14695 76 1978 6513 2
14724 48 1684 6634 19
14733 138 1544 6935 26
14751 136 2162 6574 19
14752 133 1551 7025 21
14752 132 2253 6494 24
14762 137 2076 6612 3
14778 134 1751 6536 2
14822 55 1889 6597 24
14822 46 1905 6758 18
14832 65 1952 6530 37
14844 42 2511 6028 23
14864 73 1898 6606 45
14865 63 1813 6539 25
14875 66 1885 6568 20
14944 41 1814 6654 21
14944 82 2001 6523 20
14961 40 2277 6173 18
14976 116 2061 6613 1
14982 122 1630 6831 18
15022 83 1928 6585 22
15024 123 2256 6567 26
15118 43 2407 6080 16
15166 81 2294 6474 1
15166 131 1737 6888 32
15166 74 2323 6520 1
15167 72 2146 6455 55
15167 129 2138 6605 20
15167 71 2010 6485 25
15167 54 2019 6609 21
15167 75 1927 6569 33
15168 135 1936 6570 23
15180 76 1978 6514 2
15182 69 2381 6151 2
15201 48 1682 6632 22
15225 138 1543 6938 28
15239 137 2078 6614 4
15244 136 2163 6576 19
15246 132 2254 6496 22
15246 133 1550 7030 25
15256 134 1751 6538 2
15300 46 1904 6756 19
15315 55 1889 6596 25
15325 65 1952 6532 37
15337 42 2509 6026 22
15341 73 1900 6609 46
15358 63 1814 6541 25
15369 66 1886 6570 20
15422 41 1815 6654 19
15422 82 2002 6524 20
15439 40 2279 6175 15
15470 116 2060 6611 1
15476 122 1632 6829 17
15501 123 2256 6564 26
15516 83 1929 6586 22
15526 72 2149 6456 56
15533 43 2408 6082 14
15555 135 1931 6567 21
15561 131 1736 6886 32
15563 74 2324 6522 2
15583 129 2137 6601 23
15597 71 2011 6487 27
15605 54 2020 6611 20
15640 75 1925 6567 33
15659 81 2295 6475 2
15667 76 1978 6514 2
15684 69 2381 6152 0
15695 48 1683 6632 24
15718 138 1542 6936 28
15721 136 2162 6574 21
15723 133 1549 7026 24
15733 137 2077 6612 4
15739 132 2252 6494 23
15749 134 1750 6536 3
15794 46 1905 6758 19
15803 65 1952 6529 34
15809 55 1890 6598 25
15815 42 2510 6029 20
15835 73 1898 6606 46
15836 63 1813 6539 25
15862 66 1885 6569 21
15916 41 1814 6653 21
15916 82 2001 6523 20
15934 40 2277 6174 18
15948 116 2061 6613 3
15969 122 1636 6833 18
15994 123 2258 6566 26
15994 83 1928 6584 23
