# Time Mote_ID Temperature Motion CO2
123 0 369 2502 910
123 1 280 2564 909
123 2 262 2620 895
123 3 377 2308 993
123 4 369 2658 920
123 5 361 2521 967
124 0 369 2458 909
124 1 280 2564 907
124 2 262 2620 898
124 3 377 2304 994
124 4 369 2657 921
124 5 361 2597 966
125 0 369 2551 910
125 1 280 2564 907
125 2 262 2621 895
125 3 377 2303 994
125 4 369 2658 921
125 5 361 2588 894
126 0 369 2496 911
126 1 280 2565 907
126 2 262 2620 899
126 3 377 2304 994
126 4 369 2657 921
126 5 361 2567 966
127 0 369 2515 910
127 1 280 2565 907
127 2 262 2620 895
127 3 377 2341 994
127 4 368 2658 921
127 5 361 2472 890
128 0 369 2498 910
128 1 280 2564 907
128 2 262 2621 895
128 3 377 2333 994
128 4 369 2658 921
128 5 361 2532 967
129 0 369 2510 910
129 1 280 2563 907
129 2 262 2621 895
129 3 377 2291 995
129 4 369 2658 921
129 5 361 2562 890
130 0 369 2544 911
130 1 280 2566 908
130 2 262 2620 894
130 3 377 2285 994
130 4 369 2658 921
130 5 361 2529 890
131 0 369 2478 910
131 1 280 2566 907
131 2 262 2621 895
131 3 377 2315 994
131 4 369 2658 921
131 5 361 2597 966
132 0 369 2542 911
132 1 281 2563 908
132 2 262 2621 895
132 3 377 2325 994
132 4 369 2658 921
132 5 361 2539 890
133 0 369 2527 910
133 1 280 2565 907
133 2 262 2621 895
133 3 377 2305 994
133 4 369 2659 921
133 5 361 2612 966
134 0 369 2528 911
134 1 281 2564 907
134 2 263 2621 895
134 3 377 2315 994
134 4 369 2658 921
134 5 361 2603 966
135 0 369 2450 910
135 1 281 2563 907
135 2 262 2621 895
135 3 377 2305 995
135 4 369 2658 923
135 5 361 2492 890
136 0 369 2514 909
136 1 281 2564 904
136 2 263 2621 895
136 3 377 2267 994
136 4 369 2658 923
136 5 361 2552 890
137 0 369 2474 910
137 1 281 2565 907
137 2 263 2622 895
137 3 377 2332 994
137 4 369 2658 923
137 5 361 2615 967
138 0 369 2476 911
138 1 281 2563 909
138 2 262 2621 895
138 3 377 2316 994
138 4 369 2658 921
138 5 361 2600 894
139 0 369 2536 910
139 1 280 2564 906
139 2 263 2620 898
139 4 369 2658 921
139 5 361 2564 966
140 0 369 2487 910
140 1 281 2564 907
140 2 262 2577 895
140 3 377 2295 994
140 4 369 2658 923
140 5 361 2530 894
141 0 369 2534 908
141 1 281 2564 909
141 2 262 2621 895
141 3 377 2317 994
141 4 369 2658 921
141 5 361 2525 890
142 0 369 2520 910
142 1 281 2564 907
142 2 263 2061 895
142 3 377 2301 994
142 4 369 2657 920
142 5 361 2568 894
143 0 369 2567 910
143 1 280 2563 907
143 2 263 2621 895
143 3 377 2306 994
143 4 369 2658 921
143 5 361 2543 966
144 0 369 2531 910
144 1 281 2546 907
144 2 263 2522 895
144 3 377 2302 994
144 4 369 2658 921
144 5 361 2564 966
145 0 369 2547 906
145 1 280 2563 907
145 2 263 2622 898
145 3 377 2334 993
145 4 369 2658 921
145 5 361 2591 966
146 0 369 2502 910
146 1 280 2565 907
146 2 263 2621 895
146 3 377 2312 994
146 4 369 2658 921
146 5 361 2599 891
147 0 369 2509 910
147 1 280 2565 909
147 2 263 2621 895
147 3 377 2304 994
147 4 369 2658 921
147 5 361 2558 891
148 0 369 2458 910
148 1 280 2564 907
148 2 263 2621 895
148 3 377 2282 994
148 4 369 2658 920
148 5 361 2600 890
149 0 369 2550 911
149 1 280 2564 907
149 2 263 2621 894
149 3 377 2317 994
149 4 369 2658 921
149 5 361 2637 890
150 0 369 2538 911
150 1 280 2565 907
150 2 263 2622 895
150 3 377 2301 994
150 4 369 2658 921
150 5 361 2607 894
151 0 369 2511 910
151 1 280 2565 907
151 2 263 2621 894
151 3 377 2358 994
151 4 369 2657 921
151 5 361 2552 890
152 0 369 2515 910
152 1 280 2564 907
152 2 263 2621 894
152 3 377 2320 994
152 4 369 2658 921
152 5 361 2571 966
153 0 369 2499 909
153 1 280 2564 907
153 2 263 2621 895
153 3 377 2321 994
153 4 369 2658 920
153 5 361 2563 893
154 0 369 2474 910
154 1 281 2563 906
154 2 263 2621 894
154 3 377 2287 994
154 4 369 2658 921
154 5 361 2579 890
155 0 369 2500 910
155 1 281 2565 907
155 2 263 2623 894
155 3 377 2274 994
155 4 369 2658 924
155 5 362 2610 890
156 0 369 2610 910
156 1 281 2563 907
156 2 263 2621 894
156 3 377 2314 995
156 4 369 2657 920
156 5 362 2589 894
157 0 369 2543 910
157 1 281 2564 909
157 2 263 2621 894
157 3 377 2326 994
157 4 369 2658 921
157 5 362 2624 966
158 0 369 2493 909
158 1 281 2565 907
158 2 263 2622 895
158 3 377 2312 995
158 4 369 2658 921
158 5 361 2538 894
159 0 369 2548 909
159 1 281 2564 907
159 2 263 2622 895
159 3 377 2294 994
159 4 369 2658 921
159 5 361 2603 893
160 0 369 2468 910
160 1 280 2563 907
160 2 263 2621 895
160 3 377 2328 995
160 4 369 2658 921
160 5 362 2593 890
161 0 369 2475 909
161 1 280 2564 907
161 2 263 2621 894
161 3 377 2349 995
161 4 369 2657 921
161 5 362 2562 894
162 0 369 2516 911
162 1 281 2564 907
162 2 263 2621 895
162 3 377 2300 995
162 4 369 2658 921
162 5 362 2601 894
163 0 369 2532 910
163 1 280 2562 907
163 2 263 2621 895
163 3 377 2279 995
163 4 369 2657 921
163 5 361 2608 966
164 0 369 2536 909
164 1 281 2564 907
164 2 263 2620 895
164 3 377 2310 995
164 4 369 2658 923
164 5 362 2560 965
165 0 369 2484 911
165 1 281 2564 907
165 2 262 2620 894
165 3 377 2329 994
165 4 369 2658 921
165 5 361 2577 891
166 0 369 2490 909
166 1 281 2564 907
166 2 262 2621 895
166 3 377 2334 995
166 4 369 2658 921
166 5 361 2543 890
167 0 369 2513 910
167 1 280 2564 907
167 2 262 2621 895
167 3 377 2329 994
167 4 369 2658 924
167 5 362 2596 894
168 0 369 2524 906
168 1 280 2565 906
168 2 262 2621 895
168 3 377 2326 994
168 4 369 2658 921
